ID,INC_Code,INC_Name_En,INC_Name_TH,INC_nickname,Company_Insure_Type,Sub_Insurer_type,Company_insuretypeID,Status,Tax_ID,Address_for_WH,OIC_InsureCom_Code,Comp_insure_code,bank_account_1
32,MIT,MITTARE INSURANCE PUBLIC COMPANY LIMITED,บริษัท มิตรแท้ประกันภัย จำกัด (มหาชน) ,มิตรแท้ ประกันภัย,Non-Life,F,2,Active,0107555000252,,2016,BK245714,
33,MSG,MSIG Insurance (Thailand) PCL,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด (มหาชน),เอ็มเอสไอจี ประกันภัย,Non-Life,F,2,Active,0107555000414,,2045,NTA8476,
34,MTP,Muang Thai Insurance Public Company Limited,บริษัท เมืองไทยประกันภัย จำกัด (มหาชน),เมืองไทย ประกันภัย,Non-Life,F,2,Active,0107551000151,,2779,74000631,
35,NSI,NAM SENG INSURANCE PUBLIC COMPANY LIMITED,บริษัท นําสินประกันภัย จํากัด (มหาชน),นําสิน ประกันภัย,Non-Life,F,2,Marge,0107536000196,,2007,อ/461,
36,PCH,Pacific Cross Health Insurance PCL,บริษัท แปซิฟิค ครอส ประกันสุขภาพ จำกัด (มหาชน),แปซิฟิคครอส ประกันสุขภาพ,Non-Life,P,2,Active,0107556000086,,2032,-,
37,SOM,Sompo Insurance (Thailand) Public Company Limited,บริษัท ซมโปะ ประกันภัย (ประเทศไทย) จำกัด (มหาชน),ซมโปะ ประกันภัย,Non-Life,F,2,Active,0107555000287,,2062,BR01158,
38,TIP,"Dhipaya Insurance Co., Ltd.",บริษัท ทิพยประกันภัย จำกัด (มหาชน),ทิพยประกันภัย,Non-Life,F,2,Active,0107538000533,,2051,0021630009,
39,TPB,Thai Paiboon Insurance PLC,บริษัท ไทยไพบูลย์ประกันภัย จำกัด (มหาชน),ไทยไพบูลย์ ประกันภัย,Non-Life,F,2,Active,0107555000228,,2018,02500160,
40,TSI,Thaisri Insurance PCL,บริษัท ไทยศรีประกันภัย จำกัด (มหาชน),ไทยศรี ประกันภัย,Non-Life,F,2,Marge,0105496000130,,2029,4620,
41,VIB,THE VIRIYAH INSURANCE PUBLIC COMPANY LIMITED,บริษัท วิริยะประกันภัย จํากัด (มหาชน),วิริยะ ประกันภัย,Non-Life,F,2,Active,0107555000139,,2037,19443,
42,DLT,Department of Land Transport,กรมการขนส่งทางบก,กรมการขนส่งทางบก,Tax,P,3,Active,-,,-,-,
43,NVK,THE NAVAKIJ INSURANCE PUBLIC COMPANY LIMITED,บริษัท นวกิจประกันภัย จำกัด (มหาชน),นวกิจ ประกันภัย,Non-Life,F,2,Active,0107536000862,,2050,-,
44,TNI,THANACHART INSURANCE PUBLIC COMPANY LIMITED,บริษัท ธนชาตประกันภัย จำกัด (มหาชน),ธนชาต ประกันภัย,Non-Life,F,2,Active,0107555000473,,2067,,
45,AIA,AIA Life insurance,บริษัท เอไอเอ ประกันชีวิต จำกัด,เอไอเอ ประกันชีวิต,Life,P,1,Active,-,,-,TuchCode,
