ID,SERIAL,Brand_CODE,MODEL_CODE,SUBMODEL_CODE,Vehicle_Brand,Vehicle_model,Vehicle_submodel,VH_YEAR_BEG,VH_YEAR_END,COVER_01_FLAG,COVER_PLUS_FLAG,VEHICLE_MARKET_GROUP,SEDAN_TYPE,SELL_STAT,SUBMODEL_YEAR,EFFECT_DATE,SCALE,WEIGHT,CC,SEAT_NO,CHASSIS_NO_FORMAT,ENGINE_NO_FORMAT,STANDARD_SUMINS,STANDARD_THEFT,80_SUMINS,CAR_GROUP,OLD_STD_SUMINS,OLD_STD_THEFT,CREATE_MODIFY_DATE,CREATE_ID,MODIFY_ID,MODIFY_TIME,MODEL_STATUS,rbm_serial,Redbook_Code
2712,01UU0000033,01,04,UU,TOYOTA,ALPHARD,ALPHARD 3.5 VIP,2018,2023,Y,Y,01,3,A,2020,30-09-2022,CC,,3500.00,7,,,3828000,3828000,3100000,2,3905500,3905500,20-09-2022,570055,REDBOOK,14:33,N,      53278,TOYO20DD
2713,01UU0000033,01,04,UU,TOYOTA,ALPHARD,ALPHARD 3.5 VIP,2018,2023,Y,Y,01,3,A,2021,30-09-2022,CC,,3500.00,7,,,4179000,4179000,3300000,2,4308500,4308500,20-09-2022,570055,REDBOOK,14:35,N,      54276,TOYO21DJ
2714,01UU0000033,01,04,UU,TOYOTA,ALPHARD,ALPHARD 3.5 VIP,2018,2023,Y,Y,01,3,A,2022,01-01-2023,CC,,3500.00,7,,,4682650,4682650,3700000,2,5509000,5509000,11-10-2022,570055,390159,17:00,N,      55463,TOYO22BZ
2715,01UU0000033,01,04,UU,TOYOTA,ALPHARD,ALPHARD 3.5 VIP,2018,2023,Y,Y,01,3,A,2023,01-01-2023,CC,,3500.00,7,,,5509000,5509000,4400000,2,5509000,5509000,,340076,,,A,,
2716,01UV0000033,01,19,UV,TOYOTA,COROLLA,COROLLA ALTIS.1.8 S,2018,2019,Y,Y,02,2,A,2018,30-09-2022,CC,,1800.00,7,,,567000,567000,450000,4,578500,578500,20-09-2022,570055,REDBOOK,14:32,N,      51306,TOYO18EH
2717,01UV0000033,01,19,UV,TOYOTA,COROLLA,COROLLA ALTIS.1.8 S,2018,2019,Y,Y,02,2,A,2019,25-02-2022,CC,,1800.00,7,,,696953,696953,560000,4,733635,733635,16-02-2022,340076,570055,10:35,N,,
2718,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2017,30-09-2022,CC,,2400.00,7,,,995000,995000,800000,4,995500,995500,20-09-2022,570055,REDBOOK,14:32,N,      50371,TOYO17DR
2719,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2018,30-09-2022,CC,,2400.00,7,,,1041500,1041500,830000,4,1031000,1031000,20-09-2022,570055,REDBOOK,14:32,N,      50468,TOYO18BK
2720,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2019,30-09-2022,CC,,2400.00,7,,,1092000,1092000,870000,4,1081000,1081000,20-09-2022,570055,REDBOOK,14:33,N,      51669,TOYO19DD
2721,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2020,30-09-2022,CC,,2400.00,7,,,1190500,1190500,950000,4,1179000,1179000,20-09-2022,570055,REDBOOK,14:33,N,      53227,TOYO20BE
2722,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2021,30-09-2022,CC,,2400.00,7,,,1267000,1267000,1000000,4,1267000,1267000,20-09-2022,570055,REDBOOK,14:35,N,      54205,TOYO21AQ
2723,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2022,01-01-2023,CC,,2400.00,7,,,1305600,1305600,1000000,4,1536000,1536000,11-10-2022,570055,390159,17:00,N,      55425,TOYO22AN
2724,01UW0000033,01,29,UW,TOYOTA,FORTUNER,FORTUNER 2.4 V 4WD,2017,2023,Y,Y,02,3,A,2023,01-01-2023,CC,,2400.00,7,,,1536000,1536000,1200000,4,1536000,1536000,,340076,,,A,,
2725,01UX0000033,01,19,UX,TOYOTA,COROLLA,COROLLA ALTIS.1.8 V NAVIGATOR TELEMATI C,2018,2019,Y,Y,02,2,A,2018,30-09-2022,CC,,1800.00,7,,,640000,640000,510000,4,653000,653000,20-09-2022,570055,REDBOOK,14:32,N,      51307,TOYO18EI
2726,01UX0000033,01,19,UX,TOYOTA,COROLLA,COROLLA ALTIS.1.8 V NAVIGATOR TELEMATI C,2018,2019,Y,Y,02,2,A,2019,25-02-2022,CC,,1800.00,7,,,794338,794338,640000,4,836145,836145,16-02-2022,340076,570055,10:35,N,,
2727,01UY0000033,01,14,UY,TOYOTA,CAMRY,CAMRY 2.5 HYBRID NAVIGATOR TELEMATIC,2018,2019,Y,Y,02,H,A,2018,30-09-2022,CC,,2500.00,7,,,901500,901500,720000,3,967000,967000,20-09-2022,570055,REDBOOK,14:32,N,      51308,TOYO18EJ
2728,01UY0000033,01,14,UY,TOYOTA,CAMRY,CAMRY 2.5 HYBRID NAVIGATOR TELEMATIC,2018,2019,Y,Y,02,H,A,2019,25-02-2022,CC,,2500.00,7,,,1215853,1215853,970000,3,1279845,1279845,16-02-2022,340076,570055,10:35,N,,
2729,01UZ0000033,01,14,UZ,TOYOTA,CAMRY,CAMRY HYBRID 2.5 PREMIUM TELEMATIC,2018,2018,Y,Y,02,H,A,2018,30-09-2022,CC,,2500.00,7,,,991500,991500,790000,3,1063500,1063500,20-09-2022,570055,REDBOOK,14:32,N,      51309,TOYO18EK
2730,01UZ0000033,01,14,UZ,TOYOTA,CAMRY,CAMRY HYBRID 2.5 PREMIUM TELEMATIC,2018,2018,Y,Y,02,H,A,2019,26-03-2022,CC,,2500.00,7,,,1598123,1598123,1300000,3,1682235,1682235,,650162,,,A,,
2731,01UZ0000033,01,14,UZ,TOYOTA,CAMRY,CAMRY HYBRID 2.5 PREMIUM TELEMATIC,2018,2018,Y,Y,02,H,A,2020,25-02-2022,SEAT,,,11,,,2089050,2089050,1700000,3,2199000,2199000,16-02-2022,340076,570055,10:35,N,,
