ID,Commission_Code,Valid_start,Valid_End,Product_Code,Product_Name,INC_Code,Insure_Type,Company_Insure_Type,Categories,Sub_Categories,Sub_Categories2,Main_Rider,minAge,maxAge,minSumAssure,maxSumAssure,maxRAR,minRAR,ComCommission,ComCommission_2,ComCommission_3,ComCommission_4,ComCommission_5,ComCommission_6,ComCommission_7,ComCommission_8,ComCommission_9,ComCommission_10,ComCommission_11Up,AgCommission,AgCommission_2,AgCommission_3,AgCommission_4,AgCommission_5,AgCommission_6,AgCommission_7,AgCommission_8,AgCommission_9,AgCommission_10,AgCommission_11Up,InCommission,InCommission_2,InCommission_3,InCommission_4,InCommission_5,InCommission_6,InCommission_7,InCommission_8,InCommission_9,InCommission_10,InCommission_11Up
235,CMTIP0015001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTIP0015,ความรับผิดตามกฏหมายต่อบุคคลภายนอก PL (TIP),TIP,Non-Life,2,การประกันอัคคีภัย,อัคคีภัย,Non-Motor,Main,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,0.12,,,,,,,,,,
844,CMTIP0016001,2025-08-26 00:00:00,9999-01-01 00:00:00,PDTIP0016,ประกันอุบัติเหตุกลุ่ม PA Group (TIP),TIP,Non-Life,2,ประกันกลุ่ม,ประกันกลุ่ม,Group,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,CMTIP0017001,2026-03-02 00:00:00,9999-01-01 00:00:00,PDTIP0017,ประกันรถจักรยานยนต์ ชั้น 3 (TIP),TIP,Non-Life,2,การประกันรถโดยความสมัครใจ,,Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,CMTIP0018001,2026-03-24 00:00:00,9999-01-01 00:00:00,PDTIP0018,ประกันสุขภาพกลุ่ม (TIP),TIP,Non-Life,2,การประกันภัยเบ็ดเตล็ด,สุขภาพ,Non-Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,CMTLI0001001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0001,คุ้มธนกิจ 99/20 (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
714,CMTLI0002001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0002,ค่าชดเชยรายวัน (ร.พ.) (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
715,CMTLI0003001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0003,เฮลท์ ฟิต วีไอพี ดีดักส์ (ทั่วโลก) (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
716,CMTLI00040001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0004,เฮลท์ ฟิต ดีดี  (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
717,CMTLI0006001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0006,"DD50, DD7, Lady Plus, Cancer Plus (ไทยประกันชีวิต)",TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
718,CMTLI00070001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0007,"H&S, H&S_D (ไทยประกันชีวิต)",TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
